,Graph Mod Id,Graph Score,G1 Graph Score,Sum Graph Score
0,Original Graph,751,2111,2862
65,"MBF-to-Cln3 -> 0to1 | Cdh1-to-Cln1,2 -> 0to1",14050,0,14050
66,"MBF-to-Cln3 -> 0to1 | Cdh1-to-Cln1,2 -> 0to-1",12530,0,12530
67,"MBF-to-Cln3 -> 0to1 | Swi5-to-Cln1,2 -> 0to1",14955,0,14955
68,"MBF-to-Cln3 -> 0to1 | Swi5-to-Cln1,2 -> 0to-1",12525,0,12525
69,"MBF-to-Cln3 -> 0to1 | Cdc2014-to-Cln1,2 -> 0to1",16097,0,16097
70,"MBF-to-Cln3 -> 0to1 | Cdc2014-to-Cln1,2 -> 0to-1",12453,0,12453
71,"MBF-to-Cln3 -> 0to1 | Clb5,6-to-Cln1,2 -> 0to1",12552,0,12552
72,"MBF-to-Cln3 -> 0to1 | Clb5,6-to-Cln1,2 -> 0to-1",13784,0,13784
73,"MBF-to-Cln3 -> 0to1 | Sic1-to-Cln1,2 -> 0to1",14059,0,14059
74,"MBF-to-Cln3 -> 0to1 | Sic1-to-Cln1,2 -> 0to-1",11341,0,11341
75,"MBF-to-Cln3 -> 0to1 | Clb1,2-to-Cln1,2 -> 0to1",15566,0,15566
76,"MBF-to-Cln3 -> 0to1 | Clb1,2-to-Cln1,2 -> 0to-1",12681,0,12681
77,"MBF-to-Cln3 -> 0to1 | Mcm1,SFF-to-Cln1,2 -> 0to1",15976,0,15976
78,"MBF-to-Cln3 -> 0to1 | Mcm1,SFF-to-Cln1,2 -> 0to-1",12430,0,12430
79,MBF-to-Cln3 -> 0to1 | Cln3-to-Cdh1 -> 0to1,12611,0,12611
80,MBF-to-Cln3 -> 0to1 | Cln3-to-Cdh1 -> 0to-1,12470,0,12470
81,MBF-to-Cln3 -> 0to1 | MBF-to-Cdh1 -> 0to1,12539,0,12539
82,MBF-to-Cln3 -> 0to1 | MBF-to-Cdh1 -> 0to-1,12470,0,12470
83,MBF-to-Cln3 -> 0to1 | SBF-to-Cdh1 -> 0to1,12380,0,12380
84,MBF-to-Cln3 -> 0to1 | SBF-to-Cdh1 -> 0to-1,12469,0,12469
85,"MBF-to-Cln3 -> 0to1 | Cln1,2-to-Cdh1 -> -1to0",12323,0,12323
86,"MBF-to-Cln3 -> 0to1 | Cln1,2-to-Cdh1 -> -1to1",11708,0,11708
