,Graph Mod Id,Graph Score,G1 Graph Score,Sum Graph Score
59,"First: MBF-to-Cln3 -> 0to1, Second: Cln3-to-Cln1,2 -> 0to1",12528,0,12528
60,"First: MBF-to-Cln3 -> 0to1, Second: Cln3-to-Cln1,2 -> 0to-1",11884,0,11884
61,"First: MBF-to-Cln3 -> 0to1, Second: MBF-to-Cln1,2 -> 0to1",12530,0,12530
62,"First: MBF-to-Cln3 -> 0to1, Second: MBF-to-Cln1,2 -> 0to-1",11223,0,11223
63,"First: MBF-to-Cln3 -> 0to1, Second: SBF-to-Cln1,2 -> 1to0",6050,0,6050
64,"First: MBF-to-Cln3 -> 0to1, Second: SBF-to-Cln1,2 -> 1to-1",7533,0,7533
65,"First: MBF-to-Cln3 -> 0to1, Second: Cdh1-to-Cln1,2 -> 0to1",14050,0,14050
66,"First: MBF-to-Cln3 -> 0to1, Second: Cdh1-to-Cln1,2 -> 0to-1",12530,0,12530
67,"First: MBF-to-Cln3 -> 0to1, Second: Swi5-to-Cln1,2 -> 0to1",14955,0,14955
68,"First: MBF-to-Cln3 -> 0to1, Second: Swi5-to-Cln1,2 -> 0to-1",12525,0,12525
69,"First: MBF-to-Cln3 -> 0to1, Second: Cdc2014-to-Cln1,2 -> 0to1",16097,0,16097
70,"First: MBF-to-Cln3 -> 0to1, Second: Cdc2014-to-Cln1,2 -> 0to-1",12453,0,12453
71,"First: MBF-to-Cln3 -> 0to1, Second: Clb5,6-to-Cln1,2 -> 0to1",12552,0,12552
72,"First: MBF-to-Cln3 -> 0to1, Second: Clb5,6-to-Cln1,2 -> 0to-1",13784,0,13784
73,"First: MBF-to-Cln3 -> 0to1, Second: Sic1-to-Cln1,2 -> 0to1",14059,0,14059
74,"First: MBF-to-Cln3 -> 0to1, Second: Sic1-to-Cln1,2 -> 0to-1",11341,0,11341
75,"First: MBF-to-Cln3 -> 0to1, Second: Clb1,2-to-Cln1,2 -> 0to1",15566,0,15566
76,"First: MBF-to-Cln3 -> 0to1, Second: Clb1,2-to-Cln1,2 -> 0to-1",12681,0,12681
77,"First: MBF-to-Cln3 -> 0to1, Second: Mcm1,SFF-to-Cln1,2 -> 0to1",15976,0,15976
78,"First: MBF-to-Cln3 -> 0to1, Second: Mcm1,SFF-to-Cln1,2 -> 0to-1",12430,0,12430
79,"First: MBF-to-Cln3 -> 0to1, Second: Cln3-to-Cdh1 -> 0to1",12611,0,12611
